job_id,target,poc,exit_code,len_out,lines,contains_error,contains_vuln,duration,status_code
,example.com,--dry-run,0,0,0,0,0,-25826060.491057,1
,example.com,--dry-run,0,0,0,0,0,-25826865.92258,1
,example.com,--dry-run,0,0,0,0,0,-25867700.476657,1
,example.com,--dry-run,0,0,0,0,0,-25868070.893935,1
,example.com,--dry-run,0,0,0,0,0,-25872730.724093,1
,example.com,--dry-run,0,0,0,0,0,-25879488.605256,1
,https://example.com,--auto-adapt,0,0,0,0,0,-25879899.301482,1
,https://example.com,--auto-adapt,0,0,0,0,0,-25881007.247818,1
,https://example.com,--auto-adapt,0,0,0,0,0,-25881017.156839,1
,https://example.com,--auto-adapt,0,0,0,0,0,-25893826.226115,1
,https://example.com,--dry-run,0,0,0,0,0,-25969757.655571,1
,https://example.com,--dry-run,0,0,0,0,0,-25981566.219867,1
,https://example.com,--dry-run,0,0,0,0,0,-25981766.369626,1
,https://example.com,--dry-run,0,0,0,0,0,-25982170.504074,1
,https://example.com,--dry-run,0,0,0,0,0,-25983403.81568,1
,https://example.com,--auto-adapt,0,0,0,0,0,-25983516.650119,1
017e9869eff3,example.com,--poc=sql_injection,126,103,2,0,0,2.0,1
8fd1016a2d17,example.com,--poc=sql_injection,0,190,6,0,1,2.0,0
0795361e13f9,example.com,--poc=sql_injection,0,190,6,0,1,3.0,0
7e8cc98787d7,example.com,"echo ""POC: started for example.com""; uname -a; echo ""done""",0,147,3,0,0,1.0,0
638e31d51169,https://example.com,--poc=sql_injection,0,198,6,0,1,3.0,0
3ad3223aa054,https://example.com,--poc=xss_reflected,0,153,4,0,0,2.0,0
7b82d3fc2882,https://example.com,"--cmd=echo ""POC test; uname -a""",0,19,1,0,0,1.80868,0
,https://example.com,--dry-run,0,0,0,0,0,-26400347.857324,1
,https://example.com,--dry-run,0,0,0,0,0,-26400419.099943,1
